MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957366,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957404,37.7932823,0.2850000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-1.0300000
MsgID.LOCAL_POSITION,6693.3400000,0.0879060,-0.3327673,-0.2856167
MsgID.LOCAL_VELOCITY,6693.3400000,-0.0007217,-0.0021665,-1.0328512
MsgID.GLOBAL_POSITION,0.0000000,-122.3957408,37.7932818,0.8200000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0000000,-3.0900000
MsgID.LOCAL_POSITION,6693.5900000,0.0315610,-0.3720691,-0.8205397
MsgID.LOCAL_VELOCITY,6693.5900000,0.0014463,0.0044706,-3.0905423
MsgID.GLOBAL_POSITION,0.0000000,-122.3957403,37.7932822,1.7050000
MsgID.LOCAL_VELOCITY,0.0000000,0.0000000,0.0100000,-3.8700000
MsgID.LOCAL_POSITION,6693.8400000,0.0796082,-0.3268069,-1.7054410
MsgID.LOCAL_VELOCITY,6693.8400000,0.0056917,0.0144471,-3.8718548
MsgID.GLOBAL_POSITION,0.0000000,-122.3957392,37.7932829,2.7700000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-3.9600000
MsgID.LOCAL_POSITION,6694.0910000,0.1594561,-0.2269278,-2.7706547
MsgID.LOCAL_VELOCITY,6694.0910000,0.0142745,-0.0002752,-3.9650714
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957366,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957390,37.7932824,3.4600000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,-1.1000000
MsgID.LOCAL_POSITION,6694.3410000,0.1004530,-0.2063249,-3.4607389
MsgID.LOCAL_VELOCITY,6694.3410000,0.0133311,-0.0002570,-1.1098276
MsgID.GLOBAL_POSITION,0.0000000,-122.3957405,37.7932825,3.4190000
MsgID.LOCAL_VELOCITY,0.0000000,0.0100000,0.0000000,1.3800000
MsgID.LOCAL_POSITION,6694.5910000,0.1134721,-0.3404249,-3.4199862
MsgID.LOCAL_VELOCITY,6694.5910000,0.0124641,-0.0002519,1.3809038
MsgID.GLOBAL_POSITION,0.0000000,-122.3957389,37.7932808,2.9160000
MsgID.LOCAL_VELOCITY,0.0000000,0.2500000,0.0000000,1.8700000
MsgID.LOCAL_POSITION,6694.8410000,-0.0732579,-0.2014924,-2.9163120
MsgID.LOCAL_VELOCITY,6694.8410000,0.2565524,0.0099813,1.8732954
MsgID.GLOBAL_POSITION,0.0000000,-122.3957410,37.7932833,2.6610000
MsgID.LOCAL_VELOCITY,0.0000000,2.4400000,0.0500000,0.2100000
MsgID.LOCAL_POSITION,6695.0910000,0.2048063,-0.3862666,-2.6618254
MsgID.LOCAL_VELOCITY,6695.0910000,2.4454315,0.0559777,0.2108062
MsgID.STATE,0.0000000,True,True,1
MsgID.GLOBAL_HOME,0.0000000,-122.3957366,37.7932815,0.0000000
MsgID.GLOBAL_POSITION,0.0000000,-122.3957406,37.7932917,2.7710000
MsgID.LOCAL_VELOCITY,0.0000000,4.4500000,0.1400000,-1.2300000
